2018-09-07T01:07:14.599Z,91.73,26.67,0,0.01,0.02,289.57,240.93,None,310,Matt Ryan,2,QB,1,away,2018090600,75,left,
2018-09-07T01:07:14.599Z,88.89,36.47,0.01,0.01,0.01,105.63,66.66,None,79848,Malcolm Jenkins,27,SS,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,91.35,44.16,0.02,0.03,0.01,290.45,16.86,None,2495454,Julio Jones,11,WR,1,away,2018090600,75,left,HITCH
2018-09-07T01:07:14.599Z,86.31,22.01,0.09,0.42,0.01,70.12,168.91,None,2495613,Corey Graham,24,FS,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,90.78,36.15,0,0,0,257.61,193.97,None,2533040,Mohamed Sanu,12,WR,1,away,2018090600,75,left,HITCH
2018-09-07T01:07:14.599Z,73.64,28.7,0.03,0.02,0.01,103.05,219.41,None,2534832,Rodney McLeod,23,FS,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,98.25,26.63,0.01,0.01,0,265.88,194.51,None,2543583,Devonta Freeman,24,RB,1,away,2018090600,75,left,
2018-09-07T01:07:14.599Z,86.48,31.12,0.09,0.03,0.04,95.9,33.36,None,2552315,Jordan Hicks,58,MLB,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,82.67,20.53,0.03,0.07,0.01,81.14,174.57,None,2552689,Ronald Darby,21,CB,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,84,43.49,0.14,0.05,0.01,108.23,110.32,None,2555383,Jalen Mills,31,CB,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,91.29,21.83,0.01,0.02,0.01,250.34,151.83,None,2555415,Austin Hooper,81,TE,1,away,2018090600,75,left,OUT
2018-09-07T01:07:14.599Z,85.63,26.59,0.03,0.04,0.02,87.69,38.8,None,2558175,Nate Gerry,47,LB,1,home,2018090600,75,left,
2018-09-07T01:07:14.599Z,95.13,26.71,0.01,0.01,0.01,250.1,237.27,None,2559033,Ricky Ortiz,30,FB,1,away,2018090600,75,left,FLAT
2018-09-07T01:07:14.599Z,90.11,26.85,0,0,0,,,None,,Football,,,1,football,2018090600,75,left,
